tarefa,modelo,sentenca_id,posicao,token,tag_gold,tag_predita
ner,crf,6.0,5,Britain,B-gpe,B-geo
ner,crf,8.0,20,Iran,B-gpe,B-geo
ner,crf,9.0,0,Iran,B-gpe,B-geo
ner,crf,12.0,5,U.S.,B-gpe,B-geo
ner,crf,12.0,12,Iran,B-gpe,B-geo
ner,crf,12.0,26,Tehran,B-gpe,B-org
ner,crf,12.0,30,Nuclear,B-art,B-org
ner,crf,12.0,31,Non-Proliferation,I-art,O
ner,crf,13.0,0,Iran,B-gpe,B-geo
ner,crf,13.0,9,European,B-gpe,O
ner,crf,13.0,14,Iran,B-gpe,B-geo
ner,crf,14.0,1,Germans,B-gpe,O
ner,crf,16.0,8,Shell,B-org,B-geo
ner,crf,18.0,23,Nigeria,B-gpe,B-geo
ner,crf,19.0,1,Islamist,O,B-gpe
ner,crf,23.0,21,in,I-org,O
ner,crf,23.0,22,Iraq,I-org,B-geo
ner,crf,25.0,0,U.S.,B-gpe,B-geo
ner,crf,26.0,4,in,I-org,O
ner,crf,26.0,5,Iraq,I-org,B-geo
ner,crf,28.0,4,U.S.,B-gpe,B-geo
ner,crf,41.0,22,Islam,B-org,B-geo
ner,crf,42.0,0,Bedfordshire,B-gpe,B-org
ner,crf,43.0,10,Khayam,B-per,B-geo
ner,crf,45.0,4,Khayam,B-per,B-geo
ner,crf,45.0,11,since,O,B-tim
ner,crf,52.0,6,Pakistan,B-gpe,B-geo
ner,crf,52.0,35,United,B-gpe,B-geo
ner,crf,52.0,36,States,I-gpe,I-geo
ner,crf,53.0,3,Pakistan,B-gpe,B-geo
ner,crf,53.0,32,Iran,B-gpe,B-geo
ner,crf,53.0,36,North,B-gpe,B-geo
ner,crf,53.0,37,Korea,I-gpe,I-geo
ner,crf,58.0,0,U.S.,B-gpe,B-geo
ner,crf,58.0,1,Army,B-org,O
ner,crf,58.0,24,U.S.,B-gpe,B-geo
ner,crf,59.0,0,Halliburton,B-org,B-geo
ner,crf,59.0,19,several,O,B-tim
ner,crf,60.0,2,Halliburton,B-org,B-geo
ner,crf,64.0,31,and,O,I-tim
ner,crf,64.0,32,9,B-tim,I-tim
ner,crf,75.0,0,Harcourt,B-per,B-org
ner,crf,81.0,6,Sudanese,B-gpe,O
ner,crf,81.0,17,cease-fire,O,I-tim
ner,crf,85.0,0,Khartoum,B-gpe,B-org
ner,crf,87.0,12,Bali,B-geo,I-tim
ner,crf,89.0,14,Cholily,B-per,B-geo
ner,crf,91.0,19,Bali,B-geo,I-tim
ner,crf,96.0,4,Vatican,B-org,B-geo
ner,crf,98.0,16,Byzantine,B-per,O
ner,crf,100.0,14,Taliban,B-org,O
ner,crf,106.0,5,few,O,B-tim
ner,crf,107.0,1,U.S.,B-org,B-geo
ner,crf,108.0,4,13,O,I-tim
ner,crf,109.0,11,U.S.,B-gpe,B-geo
ner,crf,110.0,5,U.S.,B-gpe,B-geo
ner,crf,116.0,2,Itar-Tass,B-org,O
ner,crf,117.0,9,Baltic,B-geo,B-gpe
ner,crf,117.0,10,states,I-geo,O
ner,crf,117.0,23,Nordic,O,B-gpe
ner,crf,118.0,16,Celsius,O,B-geo
ner,crf,121.0,10,Ninh,B-gpe,O
ner,crf,121.0,11,Binh,I-gpe,O
ner,crf,121.0,21,H5N1,B-nat,O
ner,crf,129.0,0,Ethiopia,B-gpe,B-org
ner,crf,130.0,0,Somalia,B-gpe,B-geo
ner,crf,130.0,20,Islamist,B-org,O
ner,crf,131.0,15,Addis,B-gpe,B-org
ner,crf,131.0,16,Ababa,I-gpe,B-per
ner,crf,136.0,12,U.S.,B-gpe,B-org
ner,crf,136.0,19,next,O,B-tim
ner,crf,144.0,5,Pakistan,B-gpe,B-geo
ner,crf,144.0,17,40,O,B-tim
ner,crf,147.0,6,Pakistan,B-gpe,B-geo
ner,crf,155.0,0,Cuba,B-gpe,B-geo
ner,crf,155.0,13,Havana,B-gpe,B-geo
ner,crf,155.0,17,Panama,B-gpe,B-per
ner,crf,155.0,18,City,I-gpe,I-per
ner,crf,157.0,10,Summit,O,B-org
ner,crf,158.0,0,Cuba,B-gpe,B-geo
ner,crf,158.0,4,Panama,B-gpe,B-geo
ner,crf,159.0,12,Ibero-American,O,I-tim
ner,crf,165.0,15,Israel,B-gpe,B-geo
ner,crf,166.0,17,Israel,B-gpe,B-geo
ner,crf,167.0,14,Fatah,B-org,B-geo
ner,crf,168.0,2,Chrysler,B-org,B-geo
ner,crf,169.0,6,Saltillo,B-art,B-geo
ner,crf,169.0,15,Chrysler,B-org,B-geo
ner,crf,170.0,3,Mexico,B-gpe,B-geo
ner,crf,171.0,7,Pentastar,B-art,B-per
ner,crf,171.0,8,V-6,I-art,O
ner,crf,171.0,11,Chrysler,B-art,B-geo
ner,crf,171.0,13,Dodge,B-art,B-geo
ner,crf,171.0,15,Jeep,B-art,B-geo
ner,crf,171.0,17,Ram,B-art,B-geo
ner,crf,173.0,8,Merck,B-org,B-geo
ner,crf,173.0,23,Vioxx,B-art,B-geo
ner,crf,174.0,6,Merck,B-org,B-geo
ner,crf,174.0,24,four,O,B-tim
ner,crf,175.0,3,Vioxx,B-org,B-per
ner,crf,177.0,0,Merck,B-org,B-per
ner,crf,178.0,8,Vioxx,B-art,B-geo
ner,crf,179.0,9,Vioxx,B-art,B-geo
ner,crf,180.0,4,Merck,B-org,B-per
ner,crf,180.0,17,Vioxx,B-art,B-geo
ner,crf,181.0,0,Merck,B-org,B-geo
ner,crf,183.0,12,TV,O,B-org
ner,crf,183.0,14,The,B-art,O
ner,crf,183.0,15,Simple,I-art,B-per
ner,crf,183.0,16,Life,I-art,I-per
ner,crf,188.0,8,Good,B-art,B-geo
ner,crf,188.0,9,Morning,I-art,B-art
ner,crf,188.0,17,20/20,B-art,B-tim
ner,crf,189.0,0,U.S.,B-gpe,O
ner,crf,192.0,12,U.S.,B-gpe,B-org
ner,crf,194.0,16,Senate,B-org,B-geo
ner,crf,195.0,13,30,O,B-tim
ner,crf,195.0,17,U.S.,B-gpe,B-geo
ner,crf,206.0,18,H5N1,B-nat,O
ner,crf,208.0,0,Thailand,B-gpe,B-geo
ner,crf,208.0,11,Islamic,B-org,O
ner,crf,210.0,3,Malaysia,B-gpe,B-geo
ner,crf,210.0,10,Bangkok,B-gpe,B-geo
ner,crf,212.0,0,Malaysia,B-gpe,B-geo
ner,crf,212.0,7,Bangkok,B-gpe,B-geo
ner,crf,213.0,19,Muslims,B-org,O
ner,crf,215.0,19,Japan,B-gpe,B-geo
ner,crf,215.0,32,Tokyo,B-gpe,B-geo
ner,crf,217.0,11,China,B-gpe,B-geo
ner,crf,219.0,3,2012,B-eve,B-tim
ner,crf,219.0,4,Summer,I-eve,B-eve
ner,crf,220.0,7,Games,B-eve,O
ner,crf,222.0,5,London,B-gpe,B-geo
ner,crf,223.0,7,Olympic,O,B-geo
ner,crf,223.0,21,London,B-gpe,B-geo
ner,crf,224.0,19,Games,B-eve,B-tim
ner,crf,225.0,12,30,O,B-tim
ner,crf,227.0,3,2008,B-eve,O
ner,crf,227.0,4,Olympic,I-eve,O
ner,crf,227.0,12,Jing,B-nat,B-per
ner,crf,227.0,13,Jing,I-nat,I-per
ner,crf,228.0,17,China,B-gpe,B-geo
ner,crf,229.0,4,Jing,B-nat,B-geo
ner,crf,229.0,5,Jing,I-nat,I-geo
ner,crf,234.0,3,Operation,B-eve,O
ner,crf,234.0,4,Medusa,I-eve,O
ner,crf,235.0,1,Lankan,B-gpe,I-geo
ner,crf,235.0,6,Tamil,B-org,B-geo
ner,crf,236.0,10,Web,B-art,I-org
ner,crf,236.0,16,Sri,B-gpe,B-org
ner,crf,236.0,17,Lanka,I-gpe,I-org
ner,crf,236.0,19,english,B-art,O
ner,crf,236.0,23,Daily,B-art,B-org
ner,crf,236.0,24,Mirror,I-art,I-org
ner,crf,237.0,3,Web,B-art,O
ner,crf,237.0,13,Lankan,B-geo,I-org
ner,crf,240.0,0,Japan,B-gpe,B-geo
ner,crf,240.0,2,North,B-gpe,B-geo
ner,crf,240.0,3,Korea,I-gpe,I-geo
ner,crf,242.0,8,North,B-gpe,B-geo
ner,crf,242.0,9,Korea,I-gpe,I-geo
ner,crf,243.0,0,Japan,B-gpe,B-geo
